CRST01F-SW-105,10.127.2.105,Italy/Picenengo/Cremona-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
CRST01F-SW-106,10.127.2.106,Italy/Picenengo/Cremona-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
CRST01F-SW-107,10.127.2.107,Italy/Picenengo/Cremona-plant,WS-C2960X-48FPD-L,15.2(6)E,test,0
CRST01F-SW-108,10.127.2.108,Italy/Picenengo/Cremona-plant,WS-C2960X-48FPD-L,15.2(6)E,test,0
CRST01F-SW-109,10.127.2.109,Italy/Picenengo/Cremona-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
CRST01F-SW-110,10.127.2.110,Italy/Picenengo/Cremona-plant,WS-C2960X-48FPD-L,15.2(6)E,test,0
CRST01F-SW-111,10.127.2.111,Italy/Picenengo/Cremona-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
CRST01F-SW-112,10.127.2.112,Italy/Picenengo/Cremona-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
CRST01F-SW-113,10.127.2.113,Italy/Picenengo/Cremona-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
CRST01F-SW-114,10.127.2.114,Italy/Picenengo/Cremona-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
CRST01F-SW-115,10.127.2.115,Italy/Picenengo/Cremona-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
CRST01F-SW-116,10.127.2.116,Italy/Picenengo/Cremona-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
CRST01F-SW-117,10.127.2.117,Italy/Picenengo/Cremona-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
CRST01F-SW-VG-201,10.127.2.201,Italy/Picenengo/Cremona-plant,WS-C3560V2-24PS-S,12.2(55)SE6,test,0
FEMU01F-SW-01,10.128.2.1,Italy/Ferrara/Ferrara-mill,WS-C3560V2-24PS-S,12.2(55)SE10,test,0
FEMU01F-SW-101,10.128.2.101,Italy/Ferrara/Ferrara-mill,WS-C3560V2-24PS-S,12.2(55)SE6,test,0
FEMU01F-SW-102,10.128.2.102,Italy/Ferrara/Ferrara-mill,WS-C2960X-24PD-L,15.2(6)E,test,0
FEMU01F-SW-103,10.128.2.103,Italy/Ferrara/Ferrara-mill,WS-C3560V2-24PS-S,12.2(55)SE6,test,0
FEMU01F-SW-VG-201,10.128.2.201,Italy/Ferrara/Ferrara-mill,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-01,10.129.2.1,Italy/Foggia/Foggia-plant,WS-C3850-24X-E,16.6.7,test,0
FGST01F-SW-102,10.129.2.102,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-103,10.129.2.103,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-104,10.129.2.104,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-105,10.129.2.105,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-106,10.129.2.106,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
